Acc_Actu_Pos,AccelActuPosHSC1,EPTAccelActuPosHSC1
Brk_Pdl_Prs,BrkPdlDrvrAppdPrsHSC1,BrkPdlDrvrAppdPrs_h1HSC1
Strg_Whl_Ang,StrgWhlAngHSC1,
AC_Compr_Engd,ComprOnStsHSC1,
ACComprActuPwr,ACComprActuPwrHSC1,
VSE_Longt_Acc,VSELongtAccHSC1,VSELongtAcc_h1HSC1
Veh_Spd_Drvn,VehSpdAvgDrvnHSC1,VehSpdAvgDrvn_h1HSC1
Veh_Spd_NonDrvn,VehSpdAvgNonDrvnHSC1,VehSpdAvgNonDrvn_h1HSC1
L_Dir_lamp,LDircnIOHSC1,
R_Dir_lamp,RDircnIOHSC1,
VehOdo,VehOdoHSC1,VehOdo_h1HSC1
En_Spd,EnSpdHSC1,
En_Toq,EnActuStdyStaToqHSC1,EnToqActuExtdRngHSC1
Fuel_Csump,FuelCsumpHSC1,
En_Clnt_Tem,EnClntTemHSC1,
Cl_Open_Req,ClOpenReqAHSC1,
Cl_Pos,ClPosHSC1,
TrEstdGear,TrEstdGear_TCMHSC1,
Bat_Crnt,BatCrntHSC1,
Bat_Vol,BatVolHSC1,
Bat_SOC,BatSOCHSC1,
ABS,ABSA_h1HSC1,
EPTDrvngMdSwSts,EPTDrvngMdSwStsHSC1,
ElecVehSysMd,ElecVehSysMdHSC1,
BMSPackCrnt,LSBMSPackCrnt_h6HSC6,
BMSPackVol,LSBMSPackVol_h6HSC6,
BMSPackSOC,LSBMSPackSOC_h6HSC6,
